gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,ghs_count,ghs_sum,ghs_mean
"563",Mahapathana,"2115015","2","21","2115",2164,4564,2.1090573012939
"12529",Wanaluwawa North,"1230475","1","12","1230",827,1827,2.20918984280532
"10212",Mapalana Mangin Ihala,"3227115","3","32","3227",708,708,1
"12532",Wathurugama,"1230015","1","12","1230",1209,1809,1.49627791563275
"2583",Sainthamaruthu 02,"5225010","5","52","5225",85,7485,88.0588235294118
"4421",Weudagama,"6149085","6","61","6149",695,695,1
"14",Kasawatta,"2109100","2","21","2109",420,5420,12.9047619047619
"12790",Meegahawatta,"1236120","1","12","1236",496,46296,93.3387096774194
"5067",Yaggapitiya,"6157075","6","61","6157",322,4522,14.0434782608696
"15",Konakalagala,"2109060","2","21","2109",527,1727,3.27703984819734
"8102",Modarawana,"9148130","9","91","9148",3573,4473,1.25188916876574
"12791",Mewella,"1236180","1","12","1236",459,32059,69.8453159041394
"5711",Kotuhena,"6163085","6","61","6163",1993,2193,1.10035122930256
"16",Kurudugahaela,"2109170","2","21","2109",351,7451,21.2279202279202
"12792",Nahena,"1236015","1","12","1236",444,36844,82.981981981982
"13544",Halapitiya,"1309060","1","13","1309",1523,9123,5.99015101772817
"17",Kurugoda,"2109130","2","21","2109",189,2089,11.0529100529101
"2587",Sainthamaruthu 06,"5225030","5","52","5225",46,4046,87.9565217391304
"566",Thawalanthenna,"2115025","2","21","2115",11948,13848,1.15902243053231
"13545",Halthotiyawatta,"1309290","1","13","1309",318,5318,16.7232704402516
"13077",Imbulgasovita,"1212655","1","12","1212",199,199,1
"567",Udugoda,"2115060","2","21","2115",1917,1917,1
"5727",Nahalla,"6163215","6","61","6163",2266,5966,2.63283318623124
"5882",Lokahettiya,"6166005","6","61","6166",1179,2779,2.35708227311281
"18",Malgamandeniya,"2109065","2","21","2109",864,1464,1.69444444444444
"569",Aluthgama,"2157095","2","21","2157",1564,2864,1.83120204603581
"570",Balanthota North,"2157040","2","21","2157",8794,11094,1.26154196042756
"572",Bawwagama,"2157085","2","21","2157",3413,28713,8.41283328450044
"13546",Handupelpola,"1309125","1","13","1309",1567,2467,1.5743458838545
"13549",Horana North,"1309260","1","13","1309",738,29738,40.2953929539295
"575",Greenwood,"2157080","2","21","2157",3446,8046,2.33488102147417
"13550",Horana South,"1309280","1","13","1309",649,20149,31.0462249614792
"4789",Ambahenwewa,"6169075","6","61","6169",608,2908,4.78289473684211
"576",Hydree,"2157145","2","21","2157",8782,18182,2.0703712138465
"13551",Ihala Millewa North,"1309020","1","13","1309",1763,4163,2.36131593874078
"577",Imbulpitiya,"2157075","2","21","2157",3387,10687,3.15529967522882
"587",Nawalapitiya South,"2157055","2","21","2157",735,14435,19.6394557823129
"10659",Medapathana,"8121015","8","81","8121",617,7617,12.3452188006483
"582",Kendopitiya,"2157090","2","21","2157",2437,8037,3.29790726302831
"10673",Bandarawela West,"8133065","8","81","8133",921,42921,46.6026058631922
"4828",Thalliyadda,"6169115","6","61","6169",1455,4155,2.85567010309278
"590",Pallegama,"2157005","2","21","2157",1201,3201,2.66527893422148
"595",Weligodawatta,"2157015","2","21","2157",1148,1948,1.69686411149826
"13552",Ihala Millewa South,"1309025","1","13","1309",1645,15245,9.26747720364742
"13553",Kahatapitiya,"1309100","1","13","1309",1543,6843,4.4348671419313
"19",Malwanahinna,"2109055","2","21","2109",303,1903,6.28052805280528
"596",Westhole,"2157125","2","21","2157",9742,17742,1.82118661465818
"602",Bogahakumbura,"2112030","2","21","2112",891,891,1
"2959",Araipattai South,"5127090","5","51","5127",253,5453,21.5533596837945
"597",Wewegama,"2157140","2","21","2157",8085,10685,1.32158317872604
"599",Aluthgama,"2112055","2","21","2112",718,718,1
"13554",Kananvila North,"1309140","1","13","1309",1123,3823,3.40427426536064
"604",Doragamuwa,"2112025","2","21","2112",1526,3226,2.11402359108781
"627",Millanga,"2112160","2","21","2112",486,886,1.82304526748971
"608",Galewatta,"2112250","2","21","2112",325,14325,44.0769230769231
"609",Girakaduwa,"2112135","2","21","2112",315,1415,4.49206349206349
"629",Moonamale,"2112125","2","21","2112",460,460,1
"616",Kendaliyadda,"2112130","2","21","2112",744,744,1
"657",Damunugolla,"2145230","2","21","2145",286,286,1
"626",Megodagama,"2112150","2","21","2112",293,693,2.36518771331058
"634",Paranagama,"2112050","2","21","2112",391,791,2.0230179028133
"20",Marahela,"2109075","2","21","2109",503,503,1
"632",Pallethalavinna,"2112165","2","21","2112",543,1443,2.65745856353591
"633",Pallethalavinna Ihala,"2112120","2","21","2112",325,2825,8.69230769230769
"668",Godamunna West,"2145195","2","21","2145",737,737,1
"679",Kapuliyadda East,"2145070","2","21","2145",475,1175,2.47368421052632
"3026",Kurumanvely 12,"5136130","5","51","5136",90,90,1
"680",Kapuliyadda West,"2145075","2","21","2145",279,279,1
"21",Mawathupola,"2109035","2","21","2109",857,2757,3.21703617269545
"682",Kiriwanagoda,"2145325","2","21","2145",663,1963,2.96078431372549
"688",Medagama Udagama,"2145265","2","21","2145",2521,3621,1.43633478778263
"22",Melchena,"2109090","2","21","2109",451,1051,2.33037694013304
"690",Monarangala,"2145020","2","21","2145",558,1058,1.89605734767025
"697",Oluwawatta,"2145320","2","21","2145",897,897,1
"698",Pathamailapitiya North,"2145220","2","21","2145",3476,4176,1.20138089758343
"6570",Sirambiady,"4136095","4","41","4136",201,16001,79.6069651741294
"699",Pathamailapitiya South,"2145215","2","21","2145",2216,2916,1.3158844765343
"706",Sriyagama,"2145260","2","21","2145",3126,8526,2.72744721689059
"725",Ambaruppa,"2106250","2","21","2106",355,655,1.84507042253521
"735",Bokkawala,"2106175","2","21","2106",573,2873,5.01396160558464
"23",Neerella,"2109085","2","21","2109",299,3599,12.0367892976589
"739",Dolapihilla North,"2106155","2","21","2106",357,357,1
"4837",Dandagamuwa West,"6172215","6","61","6172",633,4233,6.68720379146919
"11827",Veheragoda,"1106025","1","11","1106",89,8489,95.3820224719101
"740",Dolapihilla South,"2106160","2","21","2106",1184,1284,1.08445945945946
"742",Egodamulla North,"2106005","2","21","2106",1070,1470,1.37383177570094
"744",Galhinna,"2106075","2","21","2106",432,7732,17.8981481481481
"745",Galkanda,"2106080","2","21","2106",667,667,1
"750",Ihalamulla,"2106010","2","21","2106",816,1816,2.22549019607843
"751",Kahatagasthenna,"2106145","2","21","2106",713,713,1
"2632",Sammanthurai 12,"5218125","5","52","5218",157,7957,50.6815286624204
"24",Palle Deegala,"2109155","2","21","2109",702,802,1.14245014245014
"26",Pangollamada,"2109140","2","21","2109",626,626,1
"775",Rambukewela,"2106135","2","21","2106",1660,1660,1
"777",Uda Kithulgolla,"2106035","2","21","2106",443,443,1
"25",Palleweliketiya,"2109110","2","21","2109",165,9365,56.7575757575758
"786",Welgala,"2106060","2","21","2106",383,483,1.26109660574413
