gid,gnd_n,gnd_c,prov_c,dis_c,dsd_c,guf_count,guf_sum,guf_mean,Shape_Area
"3969",Karuwalagaswewa,"7151005","7","71","7151",10341.000000000000000,17340.000000000000000,1.676820423556716,1556246.68
"3810",Parawahagama,"7166150","7","71","7166",85374.000000000000000,0.000000000000000,0.000000000000000,12856029.91
"3811",Pelbendiyawa,"7166160","7","71","7166",41711.000000000000000,0.000000000000000,0.000000000000000,6282520.03
"3812",Ranawa,"7166090","7","71","7166",46531.000000000000000,106845.000000000000000,2.296211128065161,7007540.55
"3813",Ulpathagama,"7166120","7","71","7166",50314.000000000000000,0.000000000000000,0.000000000000000,7571557.20
"3815",Wambatuwewa,"7166050","7","71","7166",30249.000000000000000,1785.000000000000000,0.059010215213726,4554452.02
"3817",Eppawela,"7157020","7","71","7157",105681.000000000000000,64770.000000000000000,0.612882164249014,15898904.56
"3818",Galapitagala,"7157025","7","71","7157",55290.000000000000000,25245.000000000000000,0.456592512208356,8318047.29
"3819",Habarana,"7157055","7","71","7157",66429.000000000000000,174675.000000000000000,2.629499164521519,9997657.55
"3749",Step 2 part 3,"7133060","7","71","7133",4365.000000000000000,464610.000000000000000,106.439862542955325,656270.39
"3820",Hiriwadunna,"7157075","7","71","7157",69908.000000000000000,5100.000000000000000,0.072953023974366,10521606.29
"3821",Horivila,"7157040","7","71","7157",97424.000000000000000,44625.000000000000000,0.458049351289210,14665419.06
"3823",Kelewa,"7157065","7","71","7157",70514.000000000000000,15810.000000000000000,0.224210795019429,10614462.10
"3853",Ambagahawewa,"7118070","7","71","7118",86432.000000000000000,6885.000000000000000,0.079657997038134,12992948.29
"3824",Kuda Rambawewa,"7157050","7","71","7157",48763.000000000000000,0.000000000000000,0.000000000000000,7339482.89
"3825",Kumbukwewa,"7157030","7","71","7157",61552.000000000000000,0.000000000000000,0.000000000000000,9264275.42
"3826",Madawala,"7157015","7","71","7157",93202.000000000000000,0.000000000000000,0.000000000000000,14023778.52
"3828",Maithreegama,"7157005","7","71","7157",103006.000000000000000,0.000000000000000,0.000000000000000,15490982.24
"3829",Palugaswewa,"7157045","7","71","7157",129724.000000000000000,41565.000000000000000,0.320411026487003,19522925.29
"3830",Senadhiriyagama,"7157035","7","71","7157",72809.000000000000000,79560.000000000000000,1.092722053592276,10957233.87
"3831",Wayaulpatha,"7157070","7","71","7157",124334.000000000000000,0.000000000000000,0.000000000000000,18719799.94
"3834",Gemunupura,"7142040","7","71","7142",25286.000000000000000,55590.000000000000000,2.198449735031243,3802036.69
"3835",Kalundegama,"7142105","7","71","7142",53248.000000000000000,60180.000000000000000,1.130183293269231,8011765.41
"3847",Track 16  - 17,"7142010","7","71","7142",58627.000000000000000,99705.000000000000000,1.700666928207140,8820376.85
"224",Damunupola,"2134080","2","21","2134",10782.000000000000000,0.000000000000000,0.000000000000000,1624658.17
"3836",Maha Thimbirikalla,"7142080","7","71","7142",26303.000000000000000,117810.000000000000000,4.478956772991674,3957825.29
"3837",Naigala,"7142070","7","71","7142",17757.000000000000000,14790.000000000000000,0.832910964689981,2671523.78
